document_sentence
"Curieux sentiment que de vouloir qu’aucune des deux équipes qui se sont affrontées samedi à Montpellier en match de barrages du Top 14 ne s’impose… Au final, le Racing l’a emporté en toute logique dans le sillage d’un Rocoçoko des grands jours et d’un pack qui, autour du formidable Nyanga, a fini par faire plier Montpellier."
"Mais avouons le, rien dans l’emballage de cette rencontre au sommet n’avait le goût du rugby que l’on aime, celui d’un jeu qui appartient d’abord aux joueurs, celui d’une aventure humaine que l’on a envie de suivre."
"Dommage, car de part et d’autre, il y a des hommes qui mériteraient justement qu’on leur emboîte le pas: Fulgence Ouedraogo côté héraultais et Yannick Nyanga côté francilien notamment, qui portent ces valeurs de jeu, de partage, de solidarité et d’exemplarité qui se transmettent depuis toujours dans ce sport."
Mais Jacky Lorenzetti et Mohed Altrad en ont voulu autrement au point d’avoir rendu leurs deux clubs particulièrement antipathiques.
Ils veulent la lumière et occupent coûte que coûte l’espace médiatique.
"Tout leur est permis, même le ridicule."
Surtout le ridicule.
Leur projet respectif ne mène nulle part et surtout n’amène absolument rien au rugby français.
Le Racing n’a plus rien à voir avec ce que fut son formidable ancêtre dans les années 80-90 en termes d’image.
Et Montpellier a détruit en quelques saisons tout ce que le duo Galthié-Béchu avait savamment bâti pour faire du club héraultais une référence en matière de jeu et de formation.
On s’amuse désormais à compter les joueurs sélectionnables en équipe de France.
On compte aussi les protocoles commotion car de part et d’autre on kiffe de se rentrer dedans.
"On constate à quel point le joueur sud-africain est devenu incontournable dans le Top 14, on se dit que tout cela ressemble beaucoup à ce que font déjà les Saracens, mais en beaucoup moins bien, et au final, le bilan est plutôt accablant."
"Côté Montpellier, la grande famille Du Plessis a été nulle de bout en bout et François Steyn n’a été que l’ombre du grand joueur qu’il a certainement été."
"Côté Racing, je m’étonne toujours de voir Dan Carter prolonger tranquillement sa pré retraite dans un rugby pourcentage qui ne le met guère à son avantage."
J’aurais voulu qu’il reste ce grand demi d’ouverture des All Blacks et qu’il tire sa révérence sur ce formidable titre de champion du monde en 2015.
Jacky en a voulu autrement.
Jacky et son oseille.
Jacky et son égo.
"Jacky et sa grande vision du rugby à Paris … merci Jacky ! Car Jacky est aussi contagieux et l’un de ses entraîneurs, Laurent Travers a d’ailleurs été rattrapé en gagnant quelques galons de plus samedi au stade Yves-Du-Manoir dans la catégorie « j’ai très mauvais esprit »."
"Voilà, tout cela sent le rance."
"Le supermarché du rugby privé de goût et de saveur, privé d’histoire et d’identité, grâce à nos deux grands épiciers du rugby français."
J.S.
