generation_no,solution No._R1,rouge_1_f,solution No._R2,rouge_2_f,Solution No._RSU4,rouge_su4_f
0,24,0.1782178217821782,1,0.0310077519379845,16,0.04347826086956522
1,8,0.19047619047619047,4,0.0310077519379845,8,0.0423728813559322
2,7,0.19047619047619047,3,0.0310077519379845,7,0.0423728813559322
3,20,0.18691588785046725,20,0.05714285714285714,20,0.0721311475409836
4,18,0.19047619047619047,4,0.0310077519379845,18,0.0423728813559322
Max. Score,8,0.19047619047619047,20,0.05714285714285714,20,0.0721311475409836
