generation_no,solution No._R1,rouge_1_f,solution No._R2,rouge_2_f,Solution No._RSU4,rouge_su4_f
0,24,0.13513513513513514,16,0.04166666666666667,24,0.03398058252427184
1,8,0.10989010989010987,18,0.017094017094017096,15,0.024844720496894408
2,14,0.10169491525423728,12,0.017094017094017096,14,0.024844720496894408
3,5,0.10169491525423728,0,0.0,7,0.02840909090909091
4,6,0.11494252873563217,0,0.0,9,0.02840909090909091
Max. Score,24,0.13513513513513514,16,0.04166666666666667,24,0.03398058252427184
