generation_no,solution No._R1,rouge_1_f,solution No._R2,rouge_2_f,Solution No._RSU4,rouge_su4_f
0,2,0.45833333333333337,2,0.34782608695652173,2,0.2734375
1,3,0.45833333333333337,3,0.34782608695652173,3,0.2734375
2,2,0.45833333333333337,2,0.34782608695652173,2,0.2734375
3,3,0.45833333333333337,3,0.34782608695652173,3,0.2734375
4,2,0.45833333333333337,2,0.34782608695652173,2,0.2734375
Max. Score,2,0.45833333333333337,2,0.34782608695652173,2,0.2734375
