generation_no,solution No._R1,rouge_1_f,solution No._R2,rouge_2_f,Solution No._RSU4,rouge_su4_f
0,6,0.33333333333333337,5,0.12871287128712872,5,0.13643926788685523
1,4,0.33333333333333337,17,0.11419249592169657,17,0.11973756150902133
2,2,0.33333333333333337,21,0.1324200913242009,21,0.14110429447852763
3,3,0.33333333333333337,14,0.1324200913242009,14,0.14110429447852763
4,1,0.33333333333333337,13,0.1324200913242009,13,0.14110429447852763
Max. Score,6,0.33333333333333337,21,0.1324200913242009,21,0.14110429447852763
