generation_no,solution No._R1,rouge_1_f,solution No._R2,rouge_2_f,Solution No._RSU4,rouge_su4_f
0,15,0.33234421364985167,15,0.16716417910447762,15,0.16984924623115574
1,8,0.32642487046632124,9,0.15048543689320387,9,0.15742251223491027
2,9,0.32642487046632124,10,0.15048543689320387,10,0.15742251223491027
3,8,0.32642487046632124,9,0.15048543689320387,9,0.15742251223491027
4,12,0.32642487046632124,9,0.15048543689320387,9,0.15742251223491027
Max. Score,15,0.33234421364985167,15,0.16716417910447762,15,0.16984924623115574
