generation_no,solution No._R1,rouge_1_f,solution No._R2,rouge_2_f,Solution No._RSU4,rouge_su4_f
0,8,0.294478527607362,18,0.1607142857142857,18,0.16467065868263472
1,3,0.294478527607362,19,0.14285714285714288,19,0.1554054054054054
2,3,0.294478527607362,18,0.14285714285714288,18,0.1554054054054054
3,13,0.294478527607362,11,0.12941176470588237,11,0.14407894736842106
4,24,0.313953488372093,14,0.12941176470588237,14,0.14407894736842106
Max. Score,24,0.313953488372093,18,0.1607142857142857,18,0.16467065868263472
